english,french
Robot swarm,Essaim de robots
Robotic journalism,Journalisme automatisé
Robotic process automation,Automatisation des processus robotiques
Robotics,Robotique
Robustness,Robustesse
ROC curve,Courbe ROC
Rolling average,Moyenne mobile
Rollup,Zoom arrière
Room square,Carré de Room
Root directory,Répertoire racine
Root mean square,Moyenne quadratique
Root Mean Squared Error,Racine carrée de l'erreur quadratique moyenne
Root node,Nœud racine
Root-cause analysis,Analyse des causes profondes
Root-mean-square,Moyenne quadratique
Root-mean-square standardized effect,Effet Centré-Réduit Quadratique Moyen
Rootkit,Outil de dissimulation d'activité
Rotation sampling,Échantillonnage par rotation
Rotational Invariance,Invariance par rotation
Rote learning,Apprentissage par cœur
Rough consensus,Consensus approximatif
Roughness,Rugosité
Roughness penalty,Peine de la rugosité
Round-robin,Tourniquet
Router,Routeur
Routing analysis,Analyse de routage
Routing Control,Contrôle de routage
Row Echelon Form,Matrice échelonnée
Roy-Floyd-Warshall algorithm,Algorithme de Floyd-Warshall
Rprop,Rprop
RSA,Système RSA
RSA Algorithm,Algorithme RSA
RSA system,Système RSA
RT-Trajectory,Trajectoire RT
RTF file,Fichier RTF
Rule,Règle
Rule memory,Mémoire de production
Rule-based machine learning,Apprentissage automatique à base de règles
Rule-based system,Système à base de règles
Rules,Règles
Running average,Moyenne mobile
Running mean,Moyenne mobile
Rupture detection algorithm,Algorithme de détection de rupture
Rutherford distribution,Distribution contagieuse de Rutherford
Rutherford's contagious distribution,Distribution contagieuse de Rutherford
Régression par processus Gaussien,Régression par processus gaussien
Régression SVM,Régression SVM
Réseau neuronal résiduel,Réseau neuronal résiduel
S,S
S-expression,Expression symbolique
S-PLUS,S-PLUS
S4 architecture,Réseau neuronal d'espaces d'états structurés
S4 model,Réseau neuronal d'espaces d'états structurés
Saddle point,Point selle
Saddle point approximation,Méthode du point col
Saddle-point method,Méthode du point col
Saint Petersburg lottery,Paradoxe de Saint-Pétersbourg
Saint Petersburg paradox,Paradoxe de Saint-Pétersbourg
Sammon mapping,Cartographie de Sammon
Samourai,Samourai
Sample,Échantillon
Sample description space,Espace échantillon
Sample design,Plan d'échantillonnage
Sample frame,Base de sondage
Sample function,Données statistiques
Sample mean,Moyenne de l'échantillon
Sample plan,Plan d'échantillonnage
Sample point,Point échantillon
Sample ratio,Taux de sondage
Sample size,Taille de l'échantillon
Sample space,Espace échantillon
Sample statistic,Données statistiques
Sample unit,Unité d'échantillonnage
Sample variance,Variance
Sampling,Échantillonnage
Sampling algorithm,Algorithme d’échantillonnage
Sampling distribution,Distribution d'échantillonnage
Sampling error,Erreur d'échantillonnage
Sampling for attribute,Sondage d'attributs
Sampling for attributes,Sondage d'attributs
Sampling fraction,Taux de sondage
Sampling frame,Base de sondage
Sampling inspection,Contrôle sur échantillon
Sampling on successive occasions,Sondages successifs
Sampling over time,Sondages successifs
Sampling probability,Probabilité d'inclusion
Sampling ratio,Taux de sondage
Sampling with replacement,Sondage non exhaustif
SARA-RT,SARA-RT
SARSA,SARSA
SAS,SAS
SATAN,SATAN
Satisfiability,Satisfiabilité
Satisficing,Principe du seuil de satisfaction de l'individu
SavedModel,Modèle sauvegardé
Scala,Scala
Scalability,Extensibilité
Scalable,Échelonnable
Scalar measurement datum,Donnée de mesure scalaire
Scalar value specification,Spécification de valeur scalaire
Scale parameter,Paramètre d'échelle
Scale-space,Espace d'échelle
Scaling,Mise à l'échelle
Scan statistic,Analyse statistique
Scatter diagram,Nuage de points
Scatter plot,Nuage de points
Scatter plot matrix,Nuage de matrice
Scatter plot smoothing,Lissage des nuages de points
Scattergram,Nuage de points
Scatterplot smoother,Lisse nuage
Scatterplot smoothing,Lisse nuage
Scedasticity,Scédasticité
Schedule,Schedule
Scheffé's method,Test de Scheffé
Scheffé's test,Test de Scheffé
Schema,Schéma
Scheme Lisp,Scheme Lisp
Scholastic gradient algorithm,Algorithme du gradient stochastique
Schottky noise,Bruit de grenaille
Schrödinger equation,Équation de Schrödinger
Schuster periodogram,Périodogramme
Schwarz Criterion,Critère d'information bayésien
Schwarz inequality,Inégalité de Cauchy-Schwarz
Schwarz information criterion,Critère d'information bayésien
Scikit-learn,Scikit-learn
Score,Note
Scoring,Notation
Scree plot,Diagramme d'éboulis
Screening design,Plan de triage
Screening router,Routeur filtrant
Script,Script
Search algorithm,Algorithme de recherche
Search engine optimization,Référencement naturel
Search robot,Robot de recherche
Search strategy tree,Arbre de recherche
Search tree,Arbre de recherche
Second kind model,Modèle à effets aléatoires
Second law of Laplace,Distribution normale
Second quantum revolution,Seconde révolution quantique
Second- stage unit,Unité secondaire
Second-party data,Données partenaires
Secondary unit,Unité secondaire
Secret-key cryptography,Cryptographie à clé secrète
Sector chart,Diagramme circulaire
Secure destruction,Destruction sécurisée
Secure Network Server,Serveur de réseau sécurisé
Secure Profile Inspector,Secure Profile Inspector
Secure Shell,Protocole SSH
Secure sockets layer,Protocole SSL
Security,Sécurité
Security Architecture,Architecture de sécurité
Security control,Contrôle de sécurité
Security countermeasure,Contre-mesure de sécurité
Security erase,Effacement sécurisé
Security exploit,Vulnérabilité informatique
Security Label,Etiquette de sécurité
Security Level,Niveau de sécurité
Security threat,Cybermenace
Security vulnerability,Vulnérabilité informatique
Segmentation analysis,Analyse par groupe
Segregation of duties,Séparation des tâches
Selection bias,Biais de sélection
Selection criterion,Critère de sélection
Self organizing maps,Carte auto adaptative
Self-Adaptive Robust Attention,SARA-RT
Self-attention learning,Réseau autoattentif
Self-attention network,Réseau autoattentif
Self-conjugate Latin square,Carré latin auto-conjugué
Self-correlation coefficient,Coefficient de confiance
Self-encoder,Autoencodeur
Self-management,Autogestion
Self-organized feature map,Carte autoadaptative
Self-Organizing Maps,Carte autoadaptative
Self-similar process,Processus auto-similaires
Self-similarity,Coefficient d'autosimilarité
Self-supervised learning,Apprentissage autosupervisé
Semantic grammar,Grammaire sémantique
Semantic network,Réseau sémantique
Semantic query,Requêtes sémantiques
Semantic reasoner,Raisonneur sémantique
Semantic relation extraction,Extraction de relations sémantiques
Semantic relation extraction algorithm,Algorithme d'extraction de relations sémantiques
Semantic relationship extraction,Extraction de relations sémantiques
Semantic search,Recherche sémantique
Semantic segmentation,Segmentation d'image
Semantic web,Web sémantique
Semantics,Sémantique
Semantometrics,Sémantométrie
Semi-interquartile range,Écart semi-interquartile
Semi-invariant,Semi-invariant
Semi-latin square,Carré semi-latin
Semi-logarithmic chart,Graphique semi-logarithmique
Semi-logarithmic graph,Graphique semi-logarithmique
Semi-martingale,Semi-martingale
Semi-normal distribution,Distribution demi-normale
Semi-range,Demi-étendue
Semi-structured data,Données semi-structurées
Semi-supervised learning,Apprentissage partiellement supervisé
Semiconductor,Semi-conducteur
Semilog chart,Graphique semi-logarithmique
Semimartingale,Semi-martingale
Semirange,Demi-étendue
Semivariogram,Semi-variogramme
Sensitivity analysis,Analyse de sensibilité
Sensitivity function,Fonction de sensibilité
Sensor,Capteur
Sensor fusion,Fusion multisensorielle
Sentential calculus,Calcul des propositions
Sentiment analysis,Analyse des sentiments
Sentiment polarity,Polarité de sentiments
Separable convulsion,Convolution séparable
Separation logic,Logique de séparation
Separation of duties,Séparation des tâches
Separation of functions,Séparation des tâches
Separation of responsibilities,Séparation des tâches
Seq2seq model,Modèle séquence à séquence
Sequence analysis,Analyse progressive
Sequence Discovery,Fouille de motifs séquentiels
Sequence model,Modèle de séquence
Sequence to sequence model,Modèle séquence à séquence
Sequential analysis,Analyse progressive
Sequential estimation,Estimation progressive
Sequential pattern,Motif séquentiel
Sequential pattern mining,Fouille de motifs séquentiels
Sequential probability ratio test,Test progressif du rapport des probabilités
Sequential Quadratic Programming,Optimisation quadratique successive
Sequential search,Recherche séquentielle
Serial correlation,Autocorrélation
Series,Série statistique
Server,Serveur
Serverless,Sans gestion d'infrastructure
Session,Session
Setf,Setf
Shadow,Masquage
Shadow auditing,Audit algorithmique
Shallow network,Réseau peu profond
Shannon entropy,Entropie de Shannon
SHAP,SHAP
SHAP analysis,Analyse SHAP
Shape parameter,Paramètre de forme
Shapiro-Wilk test,Test de Shapiro-Wilk
Shapley value,Valeurs de Shapley
Shapley values,Valeurs de Shapley
Shazam,Shazam
Shewhart control chart,Carte de contrôle de Shewhart
Shor's algorithm,Algorithme de Shor
Shortest confidence intervals,Intervalle de confiance d'étendue minimale
Shot noise,Bruit de grenaille
Sieve of Eratosthenes,Crible d’Ératosthène
Sigmoid curve,Courbe sigmoïde
Sigmoid function,Fonction sigmoïde
Sigmoidal curve,Courbe sigmoïde
Sigmoidal nonlinearity,Non-linéarité sigmoïdale
Signal Processing,Traitement du signal
Signal to noise ratio,Rapport signal sur bruit
Signal-to-noise Ratio,Rapport signal sur bruit
Signaling System 7,Système de signalisation n° 7
Signaling System No. 7,Système de signalisation n° 7
Silhouette Plot,Représentation graphique en silhouette
Silica,Silice
Silicon,Silicium
Silicon 28,Silicium 28
Silicon photonics,Photonique sur silicium
Similarity learning,Apprentissage de similarités
Similarity searches,Recherche par similarité
Similarity-based learning,Apprentissage de concepts
Similitude,Similitude
Simple correlation,Corrélation totale
Simple matching coefficient,Taux d'appariement
Simple mean,Moyenne non pondérée
Simple Network Management Protocol,Protocole de gestion de réseau simple
Simple perceptron,Perceptron monocouche
Simple random sampling,Échantillonnage aléatoire simple
Simple sample,Échantillon aléatoire sans restriction
Simple table,Tableau à simple entrée
Simplex algorithm,Algorithme du simplexe
Simplex centroid design,Plan du simplexe centroïd
Simplex models,Modèles simplex
Simpson's Paradox,Paradoxe de Simpson
Simulated annealing,Recuit simulé
Simulated reality,Réalité simulée
Simulation analysis,Analyse de simulation
Simulation DFDT,Simulation par la méthode de calcul de différences finies dans le domaine temporel
Simulation model,Modèle de simulation
Simulator,Simulateur
Simultaneous localization and mapping,Localisation et cartographie simultanées
Single exponential smoothing,Lissage exponentiel simple
Single factor design,Plan à un facteur
Single random sampling,Échantillonnage aléatoire simple
Single sampling,Échantillonnage simple
Single sampling plan,Plan d'échantillonnage unique
Single tail test,Test unilatéral
Single-blind,En simple aveugle
Single-factor design,Plan à un facteur
Single-layer perceptron,Perceptron monocouche
Single-linkage clustering,Regroupement par méthode de lien simple
Singular distribution,Distribution singulière
Singular Value Decomposition,Décomposition en valeurs singulières
Singularity,Singularité technologique
Sink,Collecteur de données
SIRI,SIRI
SIRTEQ,SIRTEQ
Situated approach,Intelligence artificielle en situation réelle
Situatedness,Situation
Situation calculus,Calcul de situation
Six sigma,Six sigma
Size of a test,Niveau de test
Skew distribution,Distribution asymétrique
Skew regression,Régression non linéaire
Skewness,Asymétrie
Skill chaining,Chaînage de compétences
Skip connection,Connexion résiduelle
Skip-gram algorithm,Algorithme skip-gram
Skipjack,Skipjack
Skolem function,Fonction de Skolem
Skolemization,Skolémisation
Slag code,Bombe logique
SLD resolution,SLD-résolution
Sliding mean,Moyenne mobile
Sliding window,Fenêtre glissante
Slow feature analysis,Analyse des caractéristiques lentes
Slutsky process,Processus de moyenne mobile
Slutsky's lemma,Lemme de Slutsky
Slutsky's theorem,Théorème de Slutsky
Small data,Small data
Smart Apps,Applications intelligentes
Smart clothing,Habitronique
Smart machine,Machine intelligente
Smart Personalization,Personalisation intelligente
Smart planning,Planification intelligente
Smart robot,Robot autonome
Smartwear,Habitronique
Smooth kernel distribution,Distribution par noyaux lisses
Smooth test,Test d'ajustement
Smoothing,Lissage
Smoothness,Smoothness
Smoothness prior,A priori régulier
Smurfing,Schtroumpfage
Snarf,Dévorer
Sneaker,Corsaire
Snedecor's F distribution,Loi de Fisher
Sniffer,Renifleur
Snowball sampling,Sondage boule de neige
Snowball technique,Sondage boule de neige
Sobel algotithm,Algorithme de Sobel
Sobel operator,Algorithme de Sobel
Social Engineering,Piratage psychologique
Social media mining,Exploration de médias sociaux
Soft artificial life,Vie artificielle douce
Soft biometrics,Biométrie douce
Soft bomb,Bombe logique
Soft Robotics,Automatisation des processus robotiques
Softmax,Fonction exponentielle normalisée
Software as a service,Logiciel-service
Software bomb,Bombe logique
Somatotopy,Somatotopie
Sombrero function,Fonction sombrero
Song identification,Identification de chansons
Song identifier,Identification de chansons
Song recognition,Identification de chansons
Sora,Sora
SORM,SORM
Sound recognition,Reconnaissance automatique des sons
SoundHound Music,SoundHound Music
Spam,Pourriel
Spark,Apache Spark
SPARQL,SPARQL
Sparse Auto Encoder,Autoencodeurs peu denses
Sparse coding,Codage parcimonieux
Sparse data,Données disséminées
Sparse feature,Caractéristique creuse
Sparse PCA,ACP éparse
Sparse principal component analysis,ACP éparse
Sparse representation,Représentation creuse
Sparsity,Parcimonie
Spatial analysis,Analyse spatiale
Spatial association rule,Règle d'association spatiale
Spatial autocorrelation,Autocorrélation spatiale
Spatial dependence,Dépendance spatiale
Spatial exponential anisotropic covariance structure,Structure de covariance anisotrope exponentielle spatiale
Spatial exponential geometric anisotropic covariance structure,Structure de covariance anisotrope géométrique exponentielle spatiale
Spatial heterogeneity,Hétérogénéité spatiale
Spatial interpolation,Interpolation spatiale
Spatial linear geometric anisotropic covariance structure,Structure de covariance anisotrope géométrique gaussienne spatiale
Spatial region,Région spatiale
Spatial sampling,Échantillonnage spatial
Spatial spherical geometric anisotropic covariance structure,Structure de covariance anisotrope géométrique sphérique spatiale
Spatial statistics,Statistique spatiale
Spatial Transformer Network,Réseau de transformateurs spatiaux
Spatial–temporal reasoning,Raisonnement spatio-temporel
Spatiotemporal data,Données spatio-temporelles
Spear box and whisker plot,Graphique boite et moustaches de Spear
Spear phishing,Harponnage
Spearman's rank correlation coefficient,R de Spearman
Spearman's rho,R de Spearman
Spearman's ρ,R de Spearman
Spearman-Brown formula,Formule de Spearman-Brown
Spearman-Brown prophesy formula,Formule de Spearman-Brown
Special Information Operations,Opérations d'information spéciale
Species of Latin square,Carrés latins fondamentaux
Specific factor,Facteur spécifique
Specific rate,Taux spécifique
Specifically dependent continuant,Propriété
Specification bias,Biais de spécification
Specification error,Biais de spécification
Specifying null and alternate hypothesis,Spécification de l'hypothèse nulle et de l'hypothèse alternative
Specimen role,Rôle de spécimen
Spectral Clustering,Partitionnement spectral
Spectral density function,Densité spectrale
Spectral function,Spectre
Spectral weight function,Fenêtre spectrale
Spectral window,Fenêtre spectrale
Spectrum,Spectre
Specular,Lambertien
Speech synthesis,Synthèse vocale
Speech Synthesis Markup Language,Langage de balisage de synthèse vocale
Speech synthesis system,Synthétiseur de la parole
Speech synthesiser,Synthétiseur de la parole
Speech-to-speech translation,Traduction parole à parole
Spherical coordinate system,Système de coordonnées sphériques
Sphericity hypothesis,Hypothèse de sphéricité
Sphericity testing objective,Objectif de test de sphéricité
Sphering,Blanchiment
Spiking neural network,Neurone impulsionnel
Spiking neuron,Neurone impulsionnel
Spiking neuron network,Neurone impulsionnel
Spintronics,Spintronique
Splicing,Raccordement
Spoken dialog system,Système de dialogue parlé
Spoken dialogue system,Système de dialogue parlé
Spontaneous emission,Émission spontanée
Spoofing,Mystification
SPSS,SPSS
Spurious correlation,Corrélation illusoire
Spurious relationship,Fausse corrélation
Spyware,Logiciel espion
Sqoop,Apache Sqoop
Squared hinge loss,Marge maximale quadratique
Squared loss,Perte quadratique
Squariance,Somme des carrés des écarts à la moyenne
Squashing function,Fonction d'activation
SSH,Protocole SSH
SSL,Protocole SSL
SSL protocol,Protocole SSL
St. Petersburg game,Paradoxe de Saint-Pétersbourg
St. Petersburg lottery,Paradoxe de Saint-Pétersbourg
St. Petersburg paradox,Paradoxe de Saint-Pétersbourg
Stable diffusion,Diffusion latente
Stable process (distribution),Processus stochastique pur
Stable state,État stable
Stacked bar chart,Diagramme à barres empilées
Staggered plans,Plans décalés
Staircase method,Fonction en escalier
Standard basis,Base computationnelle
Standard deviation,Écart type
Standard error,Erreur standard
Standard error of a contrast estimate,Ecart-type d'estimation de contraste
Standard error of the mean,Erreur type de la moyenne
Standard Latin square,Carré latin standard
Standard measure,Mesure type
Standard normal distribution,Distribution normale standard
Standard year,Année de base
Standardised maximum likelihood estimator,Statistique de Wald
Standardised variable,Variable standardisée
Standardized mean difference,Différence moyenne standardisée
Standardized residual,Résidus Standard
Standardized variable,Variable standardisée
Start state,État initial
Starvation,Famine
Stata,Stata
State,État
State description,Description d'état
State Preparation And Measurement,Préparation d'état et mesure
State reduction,Réduction d’état
State space,Espace des états
State space model,State space model
State space model learning,State space model learning
State space search,Recherche dans l'espace des états
State variable,Variable d'état
State-space search,Recherche dans l'espace des états
Stateful,Avec état
Static evaluation function,Fonction d'évaluation statique
Static model,Modèle statique
Stationarity,Stationnarité
Stationary distribution,Distribution stationnaire
Stationary population,Population stationnaire
Stationary process,Processus stochastique pur
Stationary stochastic process,Processus stochastique pur
Stationary time series,Série chronologique stationnaire
Statistica,Statistica
Statistical analysis,Analyse statistique
Statistical Analysis System,SAS
Statistical Approach,Approche statistique
Statistical chart,Diagramme
Statistical classification,Classification statistique
Statistical classification problem,Problème de classification statistique
Statistical control,Contrôle statistique de la qualité
Statistical decision function,Fonction de décision
Statistical dispersion,Dispersion statistique
Statistical distance,Distance statistique
Statistical error,Erreur statistique
Statistical graphics,Graphiques statistiques
Statistical hypothesis,Hypothèse statistique
Statistical hypothesis test,Test d'hypothèse statistique
Statistical hypothesis test objective,Objectif de test d'hypothèse statistique
Statistical Hypothesis Testing,Test statistique
Statistical independence,Indépendance statistique
Statistical induction,Inférence statistique
Statistical inference,Inférence statistique
Statistical learning theory,Théorie de l'apprentissage statistique
Statistical literacy,Littératie statistique
Statistical map,Cartogramme
Statistical method,Méthode statistique
Statistical model,Modèle statistique
Statistical model selection,Sélection de modèle statistique
Statistical numeracy,Calcul statistique
Statistical Package for the Social Sciences,SPSS
Statistical population,Population statistique
Statistical quality control,Contrôle statistique de la qualité
Statistical Quantity,Quantités statistiques
Statistical relational learning,Apprentissage statistique
Statistical reliability,Fiabilité statistique
Statistical sample,Échantillon
Statistical series,Série statistique
Statistical significance,Signification statistique
Statistical test,Test statistique
Statistical test power,Puissance d'un test statistique
Statistical test power analysis,Analyse de la puissance d'un test statistique
Statistical tolerance region,Région de tolérance statistique
Statistical universe,Population statistique
Statistically significant,Signification statistique
Statistics and Probability Concepts,Statistiques et concepts de probabilité
Steepest ascent,Ascension la plus raide
Stein's method,Méthode de Stein
Stein's paradox,Paradoxe de Stein
Stein-Chen method,Méthode de Stein
STEM,STEM
Stem and leaf diagram,Diagramme à tiges et à feuilles
Stem and leaf display,Diagramme à tiges et à feuilles
Stem and leaf plot,Diagramme à tiges et à feuilles
Step size,Taux d'apprentissage
Step-Back Prompting,Incitation à la rétroaction
Stepping-stone state,État tremplin
Stepwise regression,Régression pas à pas
Stepwise regression analysis,Régression pas à pas
Stereogram,Stéréogramme
Stereology,Stéréologie
STING,Algorithme STING
STING clustering statistical information grid clustering,Algorithme STING
Stochastic dependence,Dépendance stochastique
Stochastic gradient descent,Descente de gradient stochastique
Stochastic independence,Indépendance
Stochastic kernel,Noyau stochastique
Stochastic matrix,Matrice de transition
Stochastic maximum likelihood,Maximum de vraisemblance stochastique
Stochastic model,Modèle statistique
Stochastic optimization,Optimisation stochastique
Stochastic process,Processus stochastique pur
Stochastic programming,Programmation stochastique
Stochastic semantic analysis,Analyse sémantique stochastique
Stochastic transitional probability matrix,Matrice de transition
Stochastic variable,Variable aléatoire
Stochastic volatility,Volatilité stochastique
Stochastics,Stochastique
Stop-or-go sampling,Échantillonnage pour le contrôle de réception
Storage medium,Support d'information
Storm,Apache Storm
Strassen algorithm,Algorithme de Strassen
Strata chart,Graphique à ceintures
Strategic knowledge,Connaissance heuristique
Stratification,Stratification
Stratification after selection,Stratification a posteriori
Stratification rule,Règle de stratification
Stratified sample,Échantillon stratifié
Stratified sampling,Échantillonnage stratifié
Stratum chart,Graphique à ceintures
Stratum population,Population stratifiée
Streaming data,Données de diffusion en continu
Strictly standardized mean difference,Différence de moyenne strictement normalisée
Stride,Incrément de balayage
STRIPS,STRIPS
Strong artificial intelligence,Intelligence artificielle forte
Strong law of large numbers,Loi forte des grands nombres
Structural reflexion,Réflexion structurelle
Structural risk minimization,Minimisation du risque structurel
Structural type system,Système de types
Structure en arbre,Structure arborescente
Structure learning,Apprentissage de structure
Structured Data,Données structurées
Structured kNN,Algorithme des k plus proches voisins à cible structurée
Structured kNN algorithm,Algorithme des k plus proches voisins
Structured prediction,Apprentissage de structure
Structured probabilistic model,Modèle graphique
Structured question,Question fermée
Student test,Test t
Student's distribution,Distribution de Student
Student's t distribution,Distribution de Student
Student's t-distribution,Distribution de Student
Student's t-test,Test t
Studentised confidence interval,Intervalle de confiance studentisés
Studentised range,Étendue de Student
Studentized confidence interval,Intervalle de confiance studentisés
Studentized range,Étendue de Student
Studentized range distribution,Distribution de l'étendue studentisée
Study design,Plan d'étude
Study design execution,Exécution d'un plan d'étude
Study group population size,Taille de la population du groupe d'étude
Study intervention,Intervention d'étude
Subexponential distribution,Loi de probabilité à queue lourde
Subject pairing,Appariement de sujets
Subject-matter expert,Expert en la matière
Subjective probability,Probabilité subjective
Submartingale,Sous-martingale
Subordinate concept,Concept subordonné
Subsample,Sous-échantillon
Successor operator,Opérateur successeur
Sufficient statistic,Statistique exhaustive
Sum contrast,Contraste total
Sum of squares about the mean,Somme des carrés des écarts à la moyenne
Sum of the squares of the residuals,Somme des carrés des erreurs
Sum-product network,Réseau somme-produit
Summary,Résumé
Super-resolution,Super-résolution
Super-resolution imaging,Super-résolution
Superalignment,Superalignement
Superconducting Quantum Interference Device,Dispositif supraconducteur à interférence quantique
Superconductivity,Supraconductivité
Superdense coding,Codage superdense
Superficial structure,Structure de surface
Superimposed iso-response curves,Courbes d'isoréponse superposées
Superintelligence,Superintelligence
Superordinate concept,Concept superordonné
Superordinate term,Hyperonyme
Superposition,Superposition
Superposition principle,Principe de superposition
Supersaturated design,Supersaturated design
Supervised learning,Apprentissage supervisé
Supervised machine learning,Apprentissage supervisé
Support Vector,Séparateur à vaste marge
Support vector machine,Séparateur à vaste marge
Suppressor variable,Variable suppressive
Surface structure,Structure de surface
Surrogate model,Modèle substitut
Survey,Sondage
Survey design,Plan d'échantillonnage
Survey frame,Base de sondage
Survey weight,Poids de sondage
Survival analysis,Analyse de survie
Survival analysis data transformation,Transformation de données d'analyse de survie
Survival analysis objective,Objectif d'analyse de survie
Survival curve,Courbe de survie
Survival distribution,Fonction de survie
Survival function,Fonction de survie
Survival rate,Taux de survie
Survivor function,Fonction de survie
Survivorship bias,Biais des survivants
SWAP,SWAP
Swarm intelligence,Intelligence distribuée
Swin Transformer,Transformateur Swin
Switch transformer,Transformateur Switch
Syllogism,Syllogisme
Symbol,Symbole
Symbol Grounding Problem,Ancrage des symboles
Symbolic algebraic manipulation,Manipulation algébrique symbolique
Symbolic artificial intelligence,Intelligence artificielle symbolique
Symbolic expression,Expression symbolique
Symbolic manipulation,Manipulation symbolique
Symmetric cryptography,Cryptographie à clé secrète
Symmetric distribution,Distribution symétrique
Symmetric key,Clé symétrique
Symmetrical distribution,Distribution symétrique
SYN flood,SYN flood
Synapse,Connexion synaptique
Synapsis,Connexion synaptique
Synaptic connection,Connexion synaptique
Synaptic weight,Poids synaptique
Syntactic tree,Arbre syntaxique
Syntax,Syntaxe
Syntax tree,Arbre syntaxique
Synthesia,Synthesia
Synthesized speech,Voix de synthèse
Synthetic Data,Données synthétiques
Synthetic feature,Caractéristique synthétique
Synthetic intelligence,Intelligence synthétique
Synthetic speech,Voix de synthèse
System of equations,Système d'équations
System panel,Tableau système
Systematic bias,Erreur systématique
Systematic design,Plan systématique
Systematic error,Erreur systématique
Systematic sample,Échantillon systématique
Systematic sample selection,Échantillonnage systématique
Systematic sampling,Échantillonnage systématique
Systematicity,Systématicité
Systems neuroscience,Neuroscience des systèmes
T-distribution,Distribution en T
T-method,Test HDS de Tukey
T-SNE,Algorithme T-SNE
T-statistic,Statistique t
T-Test,Test t
T-test for related samples,Test t pour échantillons appariés
3V,3V
Table,Table
Tableau de bord (2),Tableau de bord
Tabulation,Table
Tacotron2,Tacotron2
TAEL,TAEL
Tagging,Annotation des données
Taguchi method,Méthode de Taguchi
Tail area,Queue d'une distribution
Tajima's D,D de Tajima
Tajima's D statistic,D de Tajima
Tangent distance,Distance tangentielle
Target class,Classe cible
Target power,Puissance cible
Targeting virus,Virus anti-antivirus
Tarone test,Test de Tarone
Tarone's test for homogeneity of odds ratio,Test de Tarone
Tautology,Tautologie
Taxicab geometry,Distance City-Block
Taxonometry,Taxonomie numérique
TCP congestion control,Algorithme TCP
TCP/IP,TCP/IP
TD learning,Apprentissage par différence temporelle
Teacher forcing,Apprentissage dirigé
Tech debt,Dette technique
Technical debt,Dette technique
Technological singularity,Singularité technologique
Telepresence system,Système de téléprésence
TEMPEST,TEMPEST
Template matching,Appariement par forme de référence
Template matching method,Appariement par forme de référence
Temporal data,Donnée temporelle
Temporal difference learning,Apprentissage par différence temporelle
Tensor,Tenseur
Tensor network theory,Théorie des réseaux tenseurs
Tensor Nuclear Norms,Norme nucléaire d'un tenseur
Tensor processing unit,Unité de traitement de tenseur
Tensor shape,Forme du Tensor
Tensor size,Taille de Tensor
TensorBoard,Tableau de bord
TensorFlow,TensorFlow
TensorFlow Playground,TensorFlow Playground
TensorFlow Serving,Serveur TensorFlow
Terahertz photonics,Photonique térahertz
Term Frequency - Inverse Document Frequency,Fréquence du terme - fréquence inverse du document
Term Rule Based Security Policy,Politique de sécurité basée sur des règles
Terminal Hijacking,Piratage de terminal
Test data,Données de test
Test data set,Données de test
Test dataset,Données de test
Test Exact de Fisher,Test exact de Fisher
Test for randomness,Tests de permutation
Test for sphericity,Test de sphéricité
Test hsd,Test HDS de Tukey
Test of association between categorical variables,Test d'association entre deux variables catégorielles
Test of randomness,Tests de permutation
Test set,Données de test
Test statistic,Statistique de test
Testing of hypothesis,Hypothèse à tester
Tetrachoric,Tétrachorique
Tetrachoric correlation,Corrélation tétrachorique
Tetrachoric correlation coefficient,Coefficient de corrélation tétrachorique
Tetrachoric value of r,Coefficient de corrélation tétrachorique
Tetrad difference,Différence tétrade
Text mining,Fouille de texte
Text simplification,Simplification de textes
Text-2-image synthesis,Génération texte-à-image
Text-2-video,Génération texte-à-vidéo
Text-dependent recognition system,Reconnaisseur à message fixe
Text-dependent recognizer,Reconnaisseur à message fixe
Text-to-image generator,Génération texte-à-image
Text-to-image synthesis,Génération texte-à-image
Text-to-speech converter,Synthèse vocale
Text-to-speech synthesis system,Synthèse vocale
Text-to-speech synthesiser,Synthèse vocale
Text-to-video,Génération texte-à-vidéo
Text-to-video generator,Génération texte-à-vidéo
Text-to-video synthesis,Génération texte-à-vidéo
Text2image synthesis,Génération texte-à-image
Text2video,Génération texte-à-vidéo
Textual conclusion,Conclusion textuelle
Textual entity,Entité textuelle
TF-IDF,Fréquence du terme - fréquence inverse du document
Tf.Estimator,Tf.Estimator
THAID,THAID
Theano,Theano
Theorem provers,Prouveurs de théorème
Theorem proving,Démonstration de théorèmes
Theoretical computer science,Informatique théorique
Theoretical variable,Variable théorique
Theory of computation,Théorie du calcul
Theory of fuzzy sets,Théorie des ensembles flous
Theory of learning,Théorie de l’apprentissage
Thermo-optic effect,Effet thermo-optique
Thinking machine,Machine pensante
Third quartile,Troisième quartile
Third-party data,Données tierces
Thompson sampling,Échantillonnage de Thompson
Thompson sampling algorithm,Algorithme d’échantillonnage
Thread,Fil d'exécution
Threat Agent,Agent de menace
Threat and risk assessment,Évaluation des menaces et des risques
Three dimensional cartesian coordinate system,Système de coordonnées cartésiennes tridimensionnel
Three dimensional cartesian spatial coordinate origin,Origine des coordonnées spatiales cartésiennes tridimensionnelles
Three dimensional region,Région tridimensionnelle
Threshold model,Modèle de seuil
Thrift,Apache Thrift
Théorie calculatoire des nombres,Théorie algorithmique des nombres
Tidypolars,Tidypolars
